Reading timing models for corner nom_ff_n40C_5v50…
Reading timing library for the 'nom_ff_n40C_5v50' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__ff_n40C_5v50.lib'…
Reading timing models for corner nom_tt_025C_5v00…
Reading timing library for the 'nom_tt_025C_5v00' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__tt_025C_5v00.lib'…
Reading timing models for corner nom_ss_125C_4v50…
Reading timing library for the 'nom_ss_125C_4v50' corner at '/foss/pdks/gf180mcuD/libs.ref/gf180mcu_fd_sc_mcu7t5v0/lib/gf180mcu_fd_sc_mcu7t5v0__ss_125C_4v50.lib'…
Reading OpenROAD database at '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/27-openroad-globalplacement/ascon_top.odb'…
Reading design constraints file at '/usr/local/lib/python3.12/dist-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 4.0
[INFO] Setting input delay to: 4.0
[INFO] Setting load to: 0.07291
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0027] Inserted 4 input buffers.
[INFO RSZ-0028] Inserted 1 output buffers.
[INFO RSZ-0058] Using max wire length 11391um.
Iteration | Resized | Buffers | Nets repaired | Remaining
    11000 |    3191 |    1664 |          2077 |      4329
    11100 |    3191 |    1664 |          2077 |      4229
    11200 |    3191 |    1664 |          2077 |      4129
    11300 |    3200 |    1670 |          2079 |      4029
    11400 |    3212 |    1674 |          2082 |      3929
    11500 |    3255 |    1676 |          2083 |      3829
    11600 |    3318 |    1677 |          2085 |      3729
    11700 |    3370 |    1687 |          2086 |      3629
    11800 |    3408 |    1687 |          2086 |      3529
    11900 |    3408 |    1687 |          2086 |      3429
    12000 |    3408 |    1687 |          2086 |      3329
    12100 |    3408 |    1687 |          2086 |      3229
    12200 |    3408 |    1687 |          2086 |      3129
    12300 |    3408 |    1687 |          2086 |      3029
    12400 |    3408 |    1687 |          2086 |      2929
    12500 |    3408 |    1687 |          2086 |      2829
    12600 |    3408 |    1687 |          2086 |      2729
    12700 |    3408 |    1687 |          2086 |      2629
    12800 |    3408 |    1687 |          2086 |      2529
    12900 |    3408 |    1687 |          2086 |      2429
    13000 |    3408 |    1687 |          2086 |      2329
    13100 |    3408 |    1687 |          2086 |      2229
    13200 |    3408 |    1687 |          2086 |      2129
    13300 |    3408 |    1687 |          2086 |      2029
    13400 |    3408 |    1687 |          2086 |      1929
    13500 |    3408 |    1687 |          2086 |      1829
    13600 |    3408 |    1687 |          2086 |      1729
    13700 |    3408 |    1687 |          2086 |      1629
    13800 |    3409 |    1688 |          2087 |      1529
    13900 |    3412 |    1688 |          2087 |      1429
    14000 |    3421 |    1690 |          2089 |      1329
    14100 |    3486 |    1690 |          2089 |      1229
    14200 |    3523 |    1690 |          2089 |      1129
    14300 |    3614 |    1745 |          2095 |      1029
    14400 |    3652 |    1763 |          2100 |       929
    14500 |    3667 |    1763 |          2100 |       829
    14600 |    3676 |    1764 |          2158 |       729
    14700 |    3676 |    1764 |          2258 |       629
    14800 |    3676 |    1764 |          2358 |       529
    14900 |    3676 |    1764 |          2458 |       429
    15000 |    3676 |    1764 |          2558 |       329
    15100 |    3676 |    1764 |          2658 |       229
    15200 |    3676 |    1764 |          2758 |       129
    15300 |    3676 |    1764 |          2858 |        29
    final |    3775 |    1870 |          2860 |         0
---------------------------------------------------------
[INFO RSZ-0034] Found 2622 slew violations.
[INFO RSZ-0035] Found 286 fanout violations.
[INFO RSZ-0036] Found 2 capacitance violations.
[INFO RSZ-0038] Inserted 1870 buffers in 2860 nets.
[INFO RSZ-0039] Resized 3775 instances.
[INFO RSZ-0042] Inserted 16 tie gf180mcu_fd_sc_mcu7t5v0__tiel instances.
[INFO RSZ-0042] Inserted 2 tie gf180mcu_fd_sc_mcu7t5v0__tieh instances.
Placement Analysis
---------------------------------
total displacement      72131.3 u
average displacement        2.8 u
max displacement           72.0 u
original HPWL         1162521.8 u
legalized HPWL        1225635.9 u
delta HPWL                    5 %

[INFO DPL-0020] Mirrored 5882 instances
[INFO DPL-0021] HPWL before          1225635.9 u
[INFO DPL-0022] HPWL after           1213563.3 u
[INFO DPL-0023] HPWL delta               -1.0 %
[INFO] Setting RC values…
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Endcap cell                             550    2414.72
  Tap cell                               7621   33459.24
  Tie cell                                 18     158.05
  Buffer                                    1      13.17
  Timing Repair Buffer                   1875   52741.88
  Inverter                               1115   10247.19
  Sequential cell                        2806  187926.68
  Multi-Input combinational cell        11378  249234.23
  Total                                 25364  536195.16
Writing OpenROAD database to '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/31-openroad-repairdesignpostgpl/ascon_top.odb'…
Writing netlist to '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/31-openroad-repairdesignpostgpl/ascon_top.nl.v'…
Writing powered netlist to '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/31-openroad-repairdesignpostgpl/ascon_top.pnl.v'…
Writing layout to '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/31-openroad-repairdesignpostgpl/ascon_top.def'…
Writing timing constraints to '/foss/designs/ascon/runs/RUN_2026-09-05_03-04-29/31-openroad-repairdesignpostgpl/ascon_top.sdc'…
