net,length_um
pp_inst.core_inst.asconp_i.x2\[42\],86.9µm
clknet_leaf_286_clk,86.9µm
_12077_,86.86µm
_09567_,86.85µm
_09765_,86.85µm
pp_inst.fifo_data\[25\]\[6\],86.85µm
net1091,86.85µm
_04545_,86.8µm
_09709_,86.8µm
_12095_,86.8µm
clknet_leaf_118_clk,86.8µm
clknet_leaf_243_clk,86.44µm
_01388_,86.34µm
_01452_,86.34µm
clknet_leaf_149_clk,86.34µm
_04656_,86.29µm
_05100_,86.29µm
_07645_,86.29µm
_09750_,86.29µm
_09909_,86.29µm
pp_inst.fifo_data\[55\]\[10\],86.29µm
_01833_,86.24µm
_04560_,86.24µm
_05382_,86.24µm
_09956_,86.24µm
_09998_,86.24µm
pp_inst.fifo_data\[4\]\[10\],86.24µm
net1718,86.24µm
clknet_leaf_244_clk,86.03µm
clknet_leaf_46_clk,85.93µm
clknet_leaf_295_clk,85.88µm
pp_inst.core_inst.key_q\[1\],85.83µm
net368,85.83µm
_09301_,85.78µm
_09623_,85.78µm
clknet_leaf_268_clk,85.78µm
pp_inst.core_inst.key_q\[20\],85.73µm
_00809_,85.68µm
_06990_,85.68µm
_08992_,85.68µm
_09164_,85.68µm
_09526_,85.68µm
_09562_,85.68µm
_12075_,85.68µm
pp_inst.fifo_data\[8\]\[31\],85.68µm
clknet_leaf_96_clk,85.5µm
clknet_leaf_98_clk,85.37µm
clknet_leaf_117_clk,85.37µm
clknet_leaf_306_clk,85.37µm
pp_inst.core_inst.asconp_i.x1\[14\],85.32µm
clknet_leaf_124_clk,85.32µm
_00184_,85.27µm
_09833_,85.27µm
pp_inst.core_inst.asconp_i.x2\[14\],85.22µm
pp_inst.core_inst.key_q\[29\],85.22µm
clknet_leaf_273_clk,85.22µm
_06340_,85.17µm
_09579_,85.17µm
pp_inst.fifo_data\[13\]\[2\],85.17µm
pp_inst.fifo_data\[58\]\[2\],85.17µm
pp_inst.core_inst.key_q\[111\],85.12µm
pp_inst.fifo_data\[58\]\[31\],85.12µm
net1514,84.81µm
clknet_leaf_231_clk,84.76µm
_00805_,84.66µm
_07018_,84.66µm
pp_inst.core_inst.asconp_i.x4\[17\],84.66µm
clknet_leaf_202_clk,84.66µm
_02953_,84.61µm
_09407_,84.61µm
_07440_,84.56µm
_09727_,84.56µm
_09842_,84.56µm
pp_inst.fifo_data\[17\]\[6\],84.56µm
pp_inst.core_inst.asconp_i.x3\[41\],84.2µm
pp_inst.core_inst.asconp_i.x1\[26\],84.15µm
clknet_leaf_57_clk,84.15µm
_00188_,84.1µm
_00804_,84.1µm
_09845_,84.1µm
clknet_leaf_372_clk,84.1µm
_06210_,84.05µm
_09677_,84.05µm
_09880_,84.05µm
pp_inst.core_inst.key_q\[105\],84.05µm
pp_inst.fifo_data\[7\]\[6\],84.05µm
pp_inst.fifo_data\[27\]\[0\],84.03µm
_02092_,84µm
_03424_,84µm
_05060_,84µm
pp_inst.fifo_data\[38\]\[4\],84µm
pp_inst.fifo_data\[42\]\[2\],84µm
pp_inst.fifo_data\[29\]\[4\],83.95µm
clknet_leaf_204_clk,83.69µm
clknet_leaf_437_clk,83.69µm
_09438_,83.59µm
_09160_,83.54µm
_09396_,83.54µm
_09702_,83.54µm
_10388_,83.54µm
_12083_,83.54µm
spi_ctrl.word_buf\[18\],83.54µm
clknet_leaf_272_clk,83.54µm
pp_inst.core_inst.asconp_i.x1\[52\],83.49µm
pp_inst.core_inst.key_q\[21\],83.49µm
pp_inst.core_inst.key_q\[52\],83.49µm
pp_inst.core_inst.key_q\[5\],83.49µm
clknet_leaf_328_clk,83.49µm
_01324_,83.44µm
_06934_,83.44µm
clknet_leaf_531_clk,83.08µm
clknet_leaf_131_clk,83.03µm
clknet_leaf_508_clk,83.03µm
clknet_leaf_271_clk,82.98µm
clknet_leaf_313_clk,82.98µm
_07130_,82.93µm
_07770_,82.93µm
_10987_,82.93µm
bdi\[26\],82.93µm
_02446_,82.88µm
_02825_,82.88µm
_03404_,82.88µm
_06325_,82.88µm
_11325_,82.88µm
clknet_leaf_339_clk,82.62µm
clknet_leaf_163_clk,82.57µm
clknet_leaf_69_clk,82.52µm
clknet_leaf_259_clk,82.47µm
clknet_leaf_269_clk,82.47µm
pp_inst.core_inst.key_q\[14\],82.42µm
_01513_,82.37µm
_03116_,82.37µm
_06311_,82.37µm
_09248_,82.37µm
_09617_,82.37µm
clknet_leaf_279_clk,82.37µm
clknet_leaf_289_clk,82.36µm
_04566_,82.32µm
_05465_,82.32µm
pp_inst.fifo_data\[54\]\[6\],82.32µm
clknet_leaf_322_clk,82.19µm
clknet_leaf_73_clk,82.01µm
_00367_,81.96µm
pp_inst.core_inst.asconp_i.x1\[7\],81.96µm
clknet_leaf_479_clk,81.96µm
pp_inst.core_inst.asconp_i.x4\[29\],81.91µm
_06983_,81.86µm
_09462_,81.86µm
_09566_,81.86µm
pp_inst.core_inst.key_q\[116\],81.86µm
_07168_,81.81µm
pp_inst.fifo_data\[29\]\[10\],81.81µm
net1824,81.81µm
_01804_,81.76µm
_01964_,81.76µm
_02380_,81.76µm
_10535_,81.76µm
_11499_,81.76µm
pp_inst.fifo_data\[27\]\[4\],81.76µm
net1819,81.45µm
clknet_leaf_49_clk,81.45µm
_00221_,81.35µm
_09640_,81.35µm
clknet_leaf_21_clk,81.35µm
clknet_leaf_105_clk,81.3µm
_01772_,81.25µm
_06384_,81.25µm
_09568_,81.25µm
_06962_,81.2µm
_09717_,81.2µm
_12251_,81.2µm
pp_inst.core_inst.asconp_i.x2\[2\],81.2µm
pp_inst.core_inst.key_q\[104\],81.2µm
pp_inst.fifo_data\[0\]\[14\],81.2µm
pp_inst.fifo_data\[2\]\[31\],81.2µm
pp_inst.core_inst.asconp_i.x2\[43\],80.84µm
clknet_leaf_82_clk,80.83µm
_11013_,80.79µm
pp_inst.core_inst.asconp_i.x1\[55\],80.79µm
pp_inst.core_inst.asconp_i.x4\[14\],80.79µm
pp_inst.fifo_data\[16\]\[10\],80.79µm
net516,80.79µm
pp_inst.core_inst.asconp_i.x4\[10\],80.69µm
_03307_,80.64µm
_05409_,80.64µm
_05795_,80.64µm
_09827_,80.64µm
pp_inst.fifo_data\[17\]\[10\],80.64µm
pp_inst.fifo_data\[36\]\[31\],80.64µm
clknet_leaf_114_clk,80.33µm
clknet_leaf_480_clk,80.28µm
clknet_leaf_23_clk,80.23µm
clknet_leaf_249_clk,80.23µm
_09278_,80.18µm
pp_inst.fifo_data\[23\]\[31\],80.18µm
_00373_,80.13µm
_08897_,80.13µm
_09375_,80.13µm
clknet_leaf_33_clk,80.13µm
clknet_leaf_317_clk,80.13µm
_00656_,80.08µm
pp_inst.fifo_data\[6\]\[4\],80.08µm
clknet_leaf_281_clk,79.72µm
clknet_leaf_294_clk,79.72µm
_09782_,79.67µm
clknet_leaf_276_clk,79.67µm
_01548_,79.57µm
_02924_,79.57µm
_05087_,79.57µm
_07236_,79.57µm
pp_inst.core_inst.key_q\[82\],79.57µm
pp_inst.fifo_data\[5\]\[6\],79.57µm
clknet_leaf_532_clk,79.57µm
_00995_,79.52µm
_04635_,79.52µm
_12147_,79.52µm
pp_inst.fifo_data\[7\]\[2\],79.52µm
_10922_,79.26µm
clknet_leaf_139_clk,79.21µm
clknet_leaf_158_clk,79.2µm
pp_inst.fifo_data\[62\]\[10\],79.16µm
clknet_leaf_265_clk,79.16µm
clknet_leaf_299_clk,79.11µm
_09319_,79.06µm
_10991_,79.06µm
pp_inst.core_inst.key_q\[47\],79.06µm
pp_inst.fifo_data\[8\]\[4\],79.05µm
pp_inst.core_inst.asconp_i.x0\[0\],79.01µm
pp_inst.core_inst.asconp_i.x0\[23\],79.01µm
pp_inst.core_inst.asconp_i.x4\[58\],79.01µm
pp_inst.core_inst.mode_q\[3\],79.01µm
pp_inst.fifo_data\[24\]\[4\],79.01µm
pp_inst.fifo_data\[56\]\[31\],79.01µm
_01315_,78.96µm
_01326_,78.96µm
_07128_,78.96µm
_09399_,78.96µm
clknet_leaf_264_clk,78.7µm
net427,78.6µm
pp_inst.core_inst.key_q\[58\],78.55µm
spi_phy.sclk_sync\[1\],78.55µm
_00070_,78.5µm
_00216_,78.5µm
spi_ctrl.tx_shift_reg\[2\],78.5µm
clknet_leaf_208_clk,78.5µm
clknet_leaf_262_clk,78.49µm
_04292_,78.45µm
_06344_,78.45µm
_09901_,78.45µm
_10814_,78.45µm
pp_inst.fifo_data\[57\]\[10\],78.45µm
_02796_,78.4µm
_03453_,78.4µm
_11686_,78.4µm
_10606_,78.27µm
clknet_leaf_385_clk,78.22µm
clknet_leaf_148_clk,78.09µm
clknet_leaf_247_clk,78.09µm
pp_inst.core_inst.asconp_i.x4\[20\],77.94µm
_00823_,77.89µm
_02540_,77.89µm
_09251_,77.89µm
_00281_,77.84µm
_02732_,77.84µm
_09754_,77.84µm
pp_inst.fifo_data\[30\]\[31\],77.84µm
pp_inst.fifo_data\[32\]\[4\],77.84µm
_09400_,77.48µm
pp_inst.core_inst.asconp_i.x4\[60\],77.48µm
pp_inst.core_inst.asconp_i.x2\[57\],77.43µm
pp_inst.core_inst.asconp_i.x4\[42\],77.43µm
pp_inst.core_inst.key_q\[59\],77.38µm
pp_inst.core_inst.key_q\[6\],77.38µm
_00211_,77.33µm
_01710_,77.33µm
_09581_,77.33µm
net495,77.33µm
clknet_leaf_27_clk,77.33µm
clknet_leaf_308_clk,77.33µm
_02793_,77.28µm
_11212_,77.28µm
_12078_,77.28µm
pp_inst.fifo_data\[15\]\[6\],77.28µm
_12092_,76.97µm
clknet_leaf_112_clk,76.97µm
_09471_,76.92µm
_00272_,76.87µm
pp_inst.core_inst.key_q\[95\],76.87µm
_01769_,76.82µm
_09551_,76.82µm
_09669_,76.82µm
pp_inst.fifo_data\[30\]\[6\],76.82µm
spi_ctrl.state\[4\],76.82µm
_04470_,76.77µm
_05016_,76.77µm
_09445_,76.77µm
_11500_,76.77µm
_12209_,76.77µm
pp_inst.core_inst.key_q\[36\],76.77µm
clknet_leaf_141_clk,76.77µm
_05907_,76.72µm
_09479_,76.49µm
clknet_leaf_167_clk,76.46µm
clknet_leaf_179_clk,76.41µm
clknet_leaf_115_clk,76.36µm
clknet_leaf_138_clk,76.36µm
clknet_leaf_106_clk,76.31µm
clknet_leaf_211_clk,76.31µm
_10508_,76.26µm
clknet_leaf_9_clk,76.26µm
clknet_leaf_439_clk,76.26µm
_01319_,76.21µm
_06667_,76.21µm
_09401_,76.21µm
_09881_,76.21µm
_10551_,76.21µm
pp_inst.fifo_data\[36\]\[4\],76.21µm
pp_inst.fifo_data\[50\]\[13\],76.21µm
_00200_,76.16µm
_03361_,76.16µm
_03600_,76.16µm
_03965_,76.16µm
_04523_,76.16µm
_06158_,76.16µm
_08431_,76.16µm
_09252_,76.16µm
clknet_leaf_95_clk,76.07µm
net465,75.85µm
clknet_leaf_472_clk,75.85µm
clknet_leaf_477_clk,75.8µm
_09174_,75.75µm
pp_inst.core_inst.asconp_i.x4\[61\],75.75µm
pp_inst.core_inst.key_q\[77\],75.75µm
clknet_leaf_40_clk,75.75µm
clknet_leaf_104_clk,75.75µm
clknet_leaf_113_clk,75.75µm
clknet_leaf_235_clk,75.75µm
clknet_leaf_330_clk,75.75µm
_00818_,75.7µm
_07061_,75.7µm
_09380_,75.7µm
_09389_,75.7µm
pp_inst.core_inst.asconp_i.x1\[15\],75.7µm
pp_inst.core_inst.asconp_i.x1\[63\],75.7µm
pp_inst.core_inst.asconp_i.x3\[57\],75.7µm
pp_inst.fifo_data\[18\]\[31\],75.7µm
clknet_leaf_62_clk,75.7µm
_02156_,75.65µm
_02601_,75.65µm
_03145_,75.6µm
_07704_,75.6µm
_07902_,75.6µm
_09360_,75.6µm
_09823_,75.6µm
pp_inst.fifo_data\[39\]\[13\],75.6µm
clknet_leaf_373_clk,75.29µm
_00361_,75.19µm
_10956_,75.19µm
pp_inst.core_inst.asconp_i.x2\[5\],75.19µm
net1732,75.19µm
clknet_leaf_123_clk,75.19µm
clknet_leaf_378_clk,75.19µm
_09309_,75.14µm
pp_inst.fifo_data\[26\]\[4\],75.14µm
pp_inst.fifo_data\[9\]\[2\],75.14µm
clknet_leaf_80_clk,75.14µm
_07572_,75.09µm
_11250_,75.09µm
bdi\[29\],75.09µm
pp_inst.core_inst.key_q\[70\],75.09µm
pp_inst.fifo_data\[9\]\[13\],75.09µm
clknet_leaf_487_clk,75.09µm
_03212_,75.04µm
_04533_,75.04µm
_12330_,75.04µm
pp_inst.core_inst.reg_state_i.data_d\[231\],75.04µm
pp_inst.fifo_data\[57\]\[0\],75.04µm
clknet_leaf_74_clk,75.04µm
pp_inst.core_inst.asconp_i.x0\[31\],74.81µm
net1500,74.78µm
net1680,74.73µm
clknet_leaf_435_clk,74.73µm
clknet_leaf_263_clk,74.68µm
clknet_leaf_300_clk,74.68µm
clknet_leaf_343_clk,74.68µm
pp_inst.fifo_data\[26\]\[6\],74.63µm
_09040_,74.58µm
_09350_,74.58µm
_11501_,74.58µm
clknet_leaf_215_clk,74.58µm
_09979_,74.53µm
pp_inst.core_inst.key_q\[51\],74.53µm
pp_inst.fifo_data\[27\]\[7\],74.53µm
pp_inst.fifo_data\[44\]\[31\],74.53µm
_01612_,74.48µm
_04955_,74.48µm
_07372_,74.48µm
pp_inst.fifo_data\[45\]\[31\],74.48µm
_09197_,74.12µm
pp_inst.core_inst.key_q\[86\],74.07µm
pp_inst.fifo_data\[37\]\[3\],74.07µm
clknet_leaf_207_clk,74.07µm
_08199_,74.02µm
_09241_,74.02µm
_09344_,74.02µm
pp_inst.core_inst.asconp_i.x1\[21\],74.02µm
pp_inst.fifo_data\[16\]\[13\],74.02µm
_03017_,73.97µm
_03305_,73.97µm
_05029_,73.97µm
_07206_,73.97µm
_08178_,73.97µm
_09308_,73.97µm
pp_inst.fifo_data\[62\]\[31\],73.97µm
net1654,73.97µm
clknet_leaf_483_clk,73.97µm
_09208_,73.92µm
pp_inst.core_inst.reg_state_i.data_d\[194\],73.92µm
pp_inst.fifo_data\[32\]\[6\],73.92µm
net397,73.66µm
pp_inst.fifo_data\[46\]\[4\],73.64µm
net337,73.61µm
clknet_leaf_84_clk,73.61µm
clknet_leaf_192_clk,73.56µm
clknet_leaf_217_clk,73.56µm
_10414_,73.54µm
pp_inst.core_inst.asconp_i.x2\[6\],73.51µm
clknet_leaf_137_clk,73.51µm
clknet_leaf_193_clk,73.51µm
clknet_leaf_432_clk,73.51µm
clknet_leaf_462_clk,73.51µm
pp_inst.core_inst.asconp_i.x2\[58\],73.46µm
clknet_leaf_510_clk,73.46µm
_00814_,73.41µm
_08544_,73.41µm
_09996_,73.41µm
_12079_,73.41µm
_03816_,73.36µm
_08331_,73.36µm
_08541_,73.36µm
_10870_,73.36µm
net356,73.05µm
pp_inst.core_inst.asconp_i.x2\[28\],72.95µm
pp_inst.core_inst.key_q\[11\],72.95µm
pp_inst.core_inst.key_q\[44\],72.95µm
clknet_leaf_176_clk,72.95µm
_00824_,72.85µm
_02121_,72.85µm
_09398_,72.85µm
pp_inst.core_inst.asconp_i.x2\[1\],72.85µm
pp_inst.fifo_data\[47\]\[10\],72.85µm
pp_inst.fifo_data\[7\]\[4\],72.85µm
clknet_leaf_506_clk,72.85µm
_03273_,72.8µm
_05889_,72.8µm
_09176_,72.8µm
_09576_,72.8µm
_09821_,72.8µm
_12222_,72.8µm
net1501,72.8µm
_09618_,72.44µm
pp_inst.core_inst.asconp_i.x2\[55\],72.44µm
clknet_leaf_177_clk,72.43µm
clknet_leaf_237_clk,72.43µm
_11091_,72.39µm
pp_inst.core_inst.asconp_i.x2\[60\],72.39µm
pp_inst.core_inst.asconp_i.x4\[27\],72.39µm
pp_inst.core_inst.key_q\[80\],72.39µm
pp_inst.fifo_data\[25\]\[0\],72.39µm
clknet_leaf_296_clk,72.39µm
clknet_leaf_459_clk,72.39µm
_04674_,72.34µm
spi_ctrl.tx_shift_reg\[4\],72.34µm
_00273_,72.29µm
_04553_,72.29µm
_08422_,72.29µm
_09708_,72.29µm
_09719_,72.29µm
pp_inst.fifo_data\[23\]\[2\],72.29µm
_02316_,72.24µm
_02345_,72.24µm
_04289_,72.24µm
_09919_,72.24µm
pp_inst.core_inst.key_q\[56\],71.93µm
clknet_leaf_503_clk,71.93µm
pp_inst.core_inst.asconp_i.x3\[36\],71.88µm
clknet_leaf_120_clk,71.88µm
clknet_leaf_236_clk,71.88µm
_07026_,71.83µm
_09597_,71.83µm
pp_inst.core_inst.key_q\[53\],71.83µm
clknet_leaf_78_clk,71.83µm
clknet_leaf_312_clk,71.83µm
_09687_,71.78µm
_10761_,71.78µm
pp_inst.fifo_data\[21\]\[2\],71.78µm
clknet_leaf_119_clk,71.78µm
_01390_,71.73µm
_02668_,71.73µm
_03088_,71.73µm
pp_inst.core_inst.asconp_i.x1\[11\],71.73µm
pp_inst.core_inst.key_q\[13\],71.73µm
pp_inst.fifo_data\[60\]\[3\],71.73µm
spi_ctrl.tx_shift_reg\[5\],71.73µm
_03711_,71.68µm
_04586_,71.68µm
_06570_,71.68µm
pp_inst.fifo_data\[27\]\[31\],71.68µm
pp_inst.core_inst.asconp_i.x3\[33\],71.37µm
net370,71.37µm
clknet_leaf_61_clk,71.32µm
pp_inst.core_inst.asconp_i.x1\[42\],71.27µm
pp_inst.core_inst.asconp_i.x2\[0\],71.27µm
_09276_,71.22µm
pp_inst.fifo_data\[62\]\[13\],71.22µm
_09692_,71.17µm
pp_inst.core_inst.key_q\[98\],71.17µm
_00806_,71.12µm
bdi\[18\],71.12µm
pp_inst.fifo_data\[45\]\[4\],71.12µm
pp_inst.fifo_data\[63\]\[6\],70.89µm
pp_inst.fifo_data\[42\]\[7\],70.84µm
clknet_leaf_230_clk,70.81µm
_09662_,70.73µm
pp_inst.core_inst.asconp_i.x4\[35\],70.71µm
clknet_leaf_100_clk,70.71µm
clknet_leaf_348_clk,70.71µm
_05798_,70.66µm
pp_inst.core_inst.key_q\[17\],70.66µm
spi_ctrl.state\[1\],70.66µm
clknet_leaf_146_clk,70.66µm
clknet_leaf_509_clk,70.66µm
_09124_,70.61µm
_09862_,70.61µm
clknet_leaf_239_clk,70.61µm
_03148_,70.56µm
_04177_,70.56µm
_09879_,70.56µm
_09974_,70.56µm
bdi\[7\],70.56µm
pp_inst.core_inst.asconp_i.x2\[15\],70.25µm
clknet_leaf_153_clk,70.25µm
clknet_leaf_285_clk,70.2µm
pp_inst.core_inst.mode_q\[0\],70.15µm
clknet_leaf_60_clk,70.15µm
clknet_leaf_421_clk,70.15µm
clknet_leaf_523_clk,70.15µm
_09686_,70.1µm
pp_inst.core_inst.key_q\[22\],70.1µm
_11507_,70.05µm
pp_inst.core_inst.asconp_i.x4\[19\],70.05µm
pp_inst.fifo_data\[58\]\[10\],70.05µm
_01420_,70µm
_06926_,70µm
_07101_,70µm
_08337_,70µm
clknet_leaf_190_clk,69.79µm
net1866,69.69µm
clknet_leaf_168_clk,69.69µm
clknet_leaf_321_clk,69.69µm
pp_inst.core_inst.asconp_i.x1\[34\],69.64µm
pp_inst.core_inst.asconp_i.x4\[8\],69.64µm
pp_inst.core_inst.key_q\[28\],69.59µm
_12129_,69.54µm
pp_inst.core_inst.asconp_i.x2\[41\],69.54µm
pp_inst.fifo_data\[41\]\[13\],69.54µm
pp_inst.fifo_data\[60\]\[0\],69.54µm
_09722_,69.49µm
_09815_,69.49µm
_10358_,69.49µm
_11220_,69.49µm
pp_inst.fifo_data\[10\]\[7\],69.49µm
pp_inst.fifo_data\[40\]\[2\],69.49µm
clknet_leaf_399_clk,69.49µm
_02124_,69.44µm
_02505_,69.44µm
_09885_,69.44µm
_11765_,69.44µm
_12243_,69.44µm
pp_inst.fifo_data\[42\]\[3\],69.44µm
clknet_leaf_431_clk,69.13µm
clknet_leaf_121_clk,69.08µm
clknet_leaf_185_clk,69.08µm
clknet_leaf_270_clk,69.08µm
_09745_,69.03µm
bdi\[30\],69.03µm
pp_inst.core_inst.asconp_i.x1\[56\],69.03µm
clknet_leaf_6_clk,68.98µm
clknet_leaf_10_clk,68.98µm
clknet_leaf_180_clk,68.98µm
clknet_leaf_337_clk,68.98µm
_00230_,68.93µm
_02412_,68.93µm
_03020_,68.93µm
_09642_,68.93µm
_09647_,68.93µm
pp_inst.core_inst.asconp_i.x0\[51\],68.93µm
pp_inst.fifo_data\[61\]\[4\],68.93µm
_00238_,68.88µm
_03084_,68.88µm
_04684_,68.88µm
_07333_,68.88µm
_11084_,68.88µm
_12121_,68.88µm
bdi_type\[2\],68.88µm
pp_inst.fifo_data\[62\]\[3\],68.88µm
pp_inst.fifo_data\[30\]\[4\],68.7µm
clknet_leaf_157_clk,68.57µm
pp_inst.fifo_data\[9\]\[10\],68.52µm
pp_inst.fifo_data\[6\]\[2\],68.47µm
net468,68.47µm
_09615_,68.42µm
_10167_,68.42µm
pp_inst.core_inst.key_q\[90\],68.42µm
pp_inst.fifo_data\[26\]\[31\],68.42µm
pp_inst.fifo_data\[28\]\[4\],68.42µm
clknet_leaf_502_clk,68.42µm
_03317_,68.37µm
_09349_,68.37µm
_09561_,68.37µm
_12227_,68.37µm
pp_inst.fifo_data\[56\]\[2\],68.37µm
net511,68.37µm
clknet_leaf_257_clk,68.37µm
_00371_,68.32µm
_01481_,68.32µm
_05776_,68.32µm
_10252_,68.32µm
net599,68.19µm
pp_inst.fifo_data\[33\]\[4\],68.04µm
pp_inst.core_inst.key_q\[49\],68.01µm
_11020_,67.96µm
_05359_,67.91µm
key\[7\],67.91µm
net1410,67.91µm
clknet_leaf_314_clk,67.91µm
_00773_,67.86µm
_09257_,67.86µm
_09841_,67.86µm
pp_inst.core_inst.asconp_i.x4\[54\],67.86µm
clknet_leaf_356_clk,67.86µm
_00222_,67.81µm
_02153_,67.81µm
_05748_,67.81µm
_08813_,67.81µm
pp_inst.core_inst.key_q\[92\],67.81µm
_02476_,67.76µm
_02736_,67.76µm
_12238_,67.76µm
pp_inst.fifo_data\[37\]\[4\],67.76µm
pp_inst.fifo_data\[59\]\[31\],67.76µm
clknet_leaf_86_clk,67.63µm
clknet_leaf_41_clk,67.45µm
clknet_leaf_357_clk,67.45µm
_06042_,67.4µm
net353,67.4µm
clknet_leaf_37_clk,67.4µm
clknet_leaf_38_clk,67.4µm
clknet_leaf_178_clk,67.35µm
clknet_leaf_219_clk,67.35µm
_11014_,67.32µm
clknet_leaf_36_clk,67.3µm
clknet_leaf_240_clk,67.3µm
clknet_leaf_384_clk,67.3µm
_03184_,67.25µm
_10988_,67.25µm
_12175_,67.25µm
pp_inst.core_inst.key_q\[91\],67.25µm
pp_inst.fifo_data\[19\]\[6\],67.25µm
pp_inst.fifo_data\[20\]\[31\],67.25µm
pp_inst.fifo_data\[54\]\[13\],67.25µm
pp_inst.fifo_data\[54\]\[2\],67.25µm
pp_inst.fifo_data\[59\]\[13\],67.25µm
_00820_,67.2µm
_09469_,67.2µm
_09834_,67.2µm
_11379_,67.2µm
clknet_leaf_216_clk,66.89µm
_10007_,66.84µm
clknet_leaf_59_clk,66.84µm
clknet_leaf_291_clk,66.84µm
_10163_,66.79µm
pp_inst.core_inst.asconp_i.x2\[44\],66.79µm
_09310_,66.74µm
bdi\[3\],66.74µm
pp_inst.core_inst.key_q\[108\],66.74µm
pp_inst.core_inst.key_q\[112\],66.74µm
net481,66.74µm
clknet_leaf_242_clk,66.74µm
clknet_leaf_350_clk,66.74µm
_06159_,66.69µm
_10008_,66.69µm
_11051_,66.69µm
pp_inst.fifo_data\[5\]\[10\],66.69µm
_01870_,66.64µm
_01993_,66.64µm
_02313_,66.64µm
_05897_,66.64µm
_09575_,66.64µm
_09654_,66.64µm
_11388_,66.64µm
_11483_,66.64µm
pp_inst.fifo_data\[47\]\[3\],66.64µm
pp_inst.core_inst.key_q\[12\],66.33µm
_07021_,66.28µm
pp_inst.core_inst.asconp_i.x1\[24\],66.28µm
_09853_,66.23µm
pp_inst.fifo_data\[12\]\[2\],66.23µm
clknet_leaf_256_clk,66.23µm
clknet_leaf_478_clk,66.23µm
_08239_,66.18µm
pp_inst.core_inst.key_q\[41\],66.18µm
clknet_leaf_83_clk,66.18µm
clknet_leaf_116_clk,66.18µm
clknet_leaf_134_clk,66.18µm
clknet_leaf_309_clk,66.18µm
clknet_leaf_470_clk,66.18µm
_00114_,66.13µm
_01484_,66.13µm
_03354_,66.13µm
_09228_,66.13µm
_09532_,66.13µm
_11670_,66.13µm
pp_inst.fifo_data\[11\]\[31\],66.13µm
pp_inst.fifo_data\[34\]\[4\],66.13µm
pp_inst.fifo_data\[5\]\[13\],66.13µm
_02473_,66.08µm
_04429_,66.08µm
_04895_,66.08µm
_06175_,66.08µm
_08434_,66.08µm
_11252_,66.08µm
_12173_,66.08µm
pp_inst.fifo_data\[16\]\[2\],66.08µm
clknet_leaf_212_clk,65.84µm
net311,65.72µm
clknet_leaf_160_clk,65.72µm
clknet_leaf_3_clk,65.67µm
_09000_,65.62µm
pp_inst.core_inst.asconp_i.x0\[55\],65.62µm
pp_inst.core_inst.key_q\[10\],65.62µm
pp_inst.core_inst.key_q\[18\],65.62µm
pp_inst.core_inst.key_q\[73\],65.62µm
clknet_leaf_346_clk,65.62µm
_00180_,65.57µm
_11086_,65.57µm
pp_inst.core_inst.key_q\[9\],65.57µm
pp_inst.fifo_data\[24\]\[13\],65.57µm
_08860_,65.52µm
_09530_,65.52µm
_09857_,65.52µm
_11453_,65.52µm
pp_inst.fifo_data\[12\]\[10\],65.52µm
rx_data\[2\],65.52µm
_09383_,65.24µm
clknet_leaf_5_clk,65.16µm
pp_inst.core_inst.asconp_i.x0\[61\],65.11µm
_06373_,65.06µm
spi_ctrl.tx_shift_reg\[19\],65.06µm
_06641_,65.01µm
_10122_,65.01µm
bdi\[11\],65.01µm
pp_inst.core_inst.asconp_i.x4\[57\],65.01µm
pp_inst.core_inst.key_q\[38\],65.01µm
pp_inst.fifo_data\[1\]\[4\],65.01µm
pp_inst.fifo_data\[61\]\[10\],65.01µm
clknet_leaf_403_clk,65.01µm
_02857_,64.96µm
_03653_,64.96µm
_06678_,64.96µm
_09332_,64.96µm
pp_inst.fifo_data\[16\]\[4\],64.96µm
pp_inst.fifo_data\[28\]\[13\],64.96µm
clknet_leaf_15_clk,64.6µm
_10471_,64.55µm
pp_inst.fifo_data\[20\]\[10\],64.55µm
_09799_,64.5µm
_12137_,64.5µm
_08728_,64.45µm
_09607_,64.45µm
pp_inst.core_inst.key_q\[75\],64.45µm
pp_inst.fifo_data\[15\]\[3\],64.45µm
pp_inst.fifo_data\[2\]\[13\],64.45µm
_03589_,64.4µm
_06367_,64.4µm
_07836_,64.4µm
_11794_,64.4µm
_12046_,64.4µm
_12205_,64.4µm
pp_inst.core_inst.asconp_i.x3\[0\],64.4µm
pp_inst.fifo_data\[28\]\[10\],64.4µm
pp_inst.fifo_data\[29\]\[3\],64.4µm
spi_ctrl.byte_cnt\[1\],64.14µm
pp_inst.core_inst.asconp_i.round_cnt\[1\],64.04µm
clknet_leaf_22_clk,64.04µm
clknet_leaf_169_clk,63.99µm
clknet_leaf_324_clk,63.99µm
_00210_,63.94µm
_12028_,63.94µm
pp_inst.core_inst.asconp_i.x4\[26\],63.94µm
pp_inst.fifo_data\[27\]\[13\],63.94µm
clknet_leaf_467_clk,63.94µm
clknet_leaf_514_clk,63.94µm
_05344_,63.89µm
_07405_,63.89µm
_09272_,63.89µm
pp_inst.core_inst.asconp_i.x4\[48\],63.89µm
pp_inst.core_inst.key_q\[81\],63.89µm
pp_inst.fifo_data\[14\]\[31\],63.89µm
pp_inst.release_buffer,63.89µm
_01316_,63.84µm
_01454_,63.84µm
_04537_,63.84µm
_12218_,63.84µm
