Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_228_942,VDD,Metal1,534.8000,913.3600,4.999973
FILLER_228_933,VDD,Metal1,530.7000,912.9275,4.999973
FILLER_228_917,VDD,Metal1,525.3280,912.6680,4.999973
FILLER_228_885,VDD,Metal1,511.9555,912.5910,4.999974
FILLER_228_871,VDD,Metal1,495.9800,912.9275,4.999975
FILLER_228_807,VDD,Metal1,477.2750,912.5455,4.999975
FILLER_228_789,VDD,Metal1,453.6480,912.6680,4.999975
FILLER_228_758,VDD,Metal1,431.7600,913.3600,4.999975
FILLER_228_749,VDD,Metal1,426.4400,913.3600,4.999975
FILLER_228_745,VDD,Metal1,425.4200,912.9275,4.999975
FILLER_228_737,VDD,Metal1,422.1865,912.7830,4.999975
FILLER_228_671,VDD,Metal1,382.7600,913.3600,4.999975
FILLER_228_667,VDD,Metal1,381.7400,912.9275,4.999975
FILLER_228_635,VDD,Metal1,362.6000,913.3600,4.999975
FILLER_228_633,VDD,Metal1,361.7600,913.3600,4.999975
FILLER_228_629,VDD,Metal1,360.4600,912.9275,4.999975
FILLER_228_597,VDD,Metal1,350.6755,912.5910,4.999975
FILLER_228_591,VDD,Metal1,339.1800,912.9275,4.999975
FILLER_228_527,VDD,Metal1,320.4750,912.5455,4.999975
FILLER_228_521,VDD,Metal1,299.9800,912.9275,4.999975
FILLER_228_457,VDD,Metal1,281.2750,912.5455,4.999975
FILLER_228_454,VDD,Metal1,261.2400,913.3600,4.999975
FILLER_228_452,VDD,Metal1,260.4000,913.3600,4.999975
FILLER_228_448,VDD,Metal1,259.1000,912.9275,4.999975
FILLER_228_416,VDD,Metal1,249.3155,912.5910,4.999975
FILLER_228_354,VDD,Metal1,205.5200,913.3600,4.999976
FILLER_228_346,VDD,Metal1,203.2265,912.7830,4.999976
FILLER_228_330,VDD,Metal1,196.6080,912.6680,4.999976
FILLER_228_314,VDD,Metal1,182.8400,913.3600,4.999976
FILLER_228_310,VDD,Metal1,181.8200,912.9275,4.999976
FILLER_228_278,VDD,Metal1,172.0355,912.5910,4.999977
FILLER_228_247,VDD,Metal1,145.6000,913.3600,4.999978
FILLER_228_229,VDD,Metal1,140.0480,912.6680,4.999978
FILLER_228_223,VDD,Metal1,131.8800,913.3600,4.999978
FILLER_228_221,VDD,Metal1,131.0400,913.3600,4.999978
FILLER_228_217,VDD,Metal1,129.7400,912.9275,4.999978
FILLER_228_209,VDD,Metal1,126.5065,912.7830,4.999978
FILLER_228_177,VDD,Metal1,115.4755,912.5910,4.999979
FILLER_228_171,VDD,Metal1,103.9800,912.9275,4.999979
FILLER_228_107,VDD,Metal1,85.2750,912.5455,4.999979
FILLER_228_101,VDD,Metal1,64.7800,912.9275,4.999980
FILLER_228_37,VDD,Metal1,46.0750,912.5455,4.999980
FILLER_228_34,VDD,Metal1,26.0400,913.3600,4.999982
FILLER_228_2,VDD,Metal1,17.4755,912.5910,4.999982
FILLER_227_1608,VDD,Metal1,907.4800,905.5200,4.999918
FILLER_227_1606,VDD,Metal1,906.6400,905.5200,4.999918
FILLER_227_1542,VDD,Metal1,888.8750,906.3340,4.999918
FILLER_227_1536,VDD,Metal1,868.3800,905.9525,4.999918
FILLER_227_1472,VDD,Metal1,849.6750,906.3340,4.999918
FILLER_227_1466,VDD,Metal1,829.1800,905.9525,4.999918
FILLER_227_1402,VDD,Metal1,810.4750,906.3340,4.999918
FILLER_227_1396,VDD,Metal1,789.9800,905.9525,4.999918
FILLER_227_1332,VDD,Metal1,771.2750,906.3340,4.999918
FILLER_227_1326,VDD,Metal1,750.7800,905.9525,4.999918
FILLER_227_1318,VDD,Metal1,747.5465,906.0965,4.999918
FILLER_227_1302,VDD,Metal1,740.9280,906.2120,4.999918
FILLER_227_1270,VDD,Metal1,727.5555,906.2885,4.999917
FILLER_227_1234,VDD,Metal1,698.0400,905.5200,4.999873
FILLER_227_1226,VDD,Metal1,696.0265,906.0965,4.999870
FILLER_227_1188,VDD,Metal1,672.5600,905.5200,4.999865
FILLER_227_1129,VDD,Metal1,639.2400,905.5200,4.999873
FILLER_227_1127,VDD,Metal1,638.4000,905.5200,4.999873
FILLER_227_1119,VDD,Metal1,633.6400,905.5200,4.999873
FILLER_227_1097,VDD,Metal1,621.3200,905.5200,4.999858
FILLER_227_1095,VDD,Metal1,620.4800,905.5200,4.999858
FILLER_227_1085,VDD,Metal1,614.8800,905.5200,4.999856
FILLER_227_1081,VDD,Metal1,613.5800,905.9525,4.999854
FILLER_227_1020,VDD,Metal1,578.2000,905.5200,4.999848
FILLER_227_1018,VDD,Metal1,577.3600,905.5200,4.999846
FILLER_227_1014,VDD,Metal1,576.0600,905.9525,4.999845
FILLER_227_982,VDD,Metal1,566.2755,906.2885,4.999841
FILLER_227_978,VDD,Metal1,554.9600,905.5200,4.999841
FILLER_227_974,VDD,Metal1,553.6600,905.9525,4.999841
FILLER_227_966,VDD,Metal1,550.4265,906.0965,4.999841
FILLER_227_950,VDD,Metal1,543.8080,906.2120,4.999840
FILLER_227_917,VDD,Metal1,521.7400,905.9525,4.999841
FILLER_227_901,VDD,Metal1,511.5600,905.5200,4.999841
FILLER_227_899,VDD,Metal1,510.7200,905.5200,4.999841
FILLER_227_895,VDD,Metal1,509.4200,905.9525,4.999841
FILLER_227_860,VDD,Metal1,488.6000,905.5200,4.999855
FILLER_227_858,VDD,Metal1,487.7600,905.5200,4.999856
FILLER_227_842,VDD,Metal1,483.3280,906.2120,4.999856
FILLER_227_839,VDD,Metal1,476.8400,905.5200,4.999856
FILLER_227_831,VDD,Metal1,474.8265,906.0965,4.999856
FILLER_227_799,VDD,Metal1,463.7955,906.2885,4.999852
FILLER_227_784,VDD,Metal1,446.3200,905.5200,4.999852
FILLER_227_772,VDD,Metal1,439.6000,905.5200,4.999846
FILLER_227_769,VDD,Metal1,437.6400,905.5200,4.999834
FILLER_227_732,VDD,Metal1,419.3865,906.0965,4.999832
FILLER_227_711,VDD,Metal1,405.4400,905.5200,4.999831
FILLER_227_707,VDD,Metal1,404.1400,905.9525,4.999831
FILLER_227_699,VDD,Metal1,398.4400,905.5200,4.999831
FILLER_227_697,VDD,Metal1,397.6000,905.5200,4.999831
FILLER_227_677,VDD,Metal1,387.3400,905.9525,4.999831
FILLER_227_661,VDD,Metal1,381.9680,906.2120,4.999832
FILLER_227_647,VDD,Metal1,369.3200,905.5200,4.999883
FILLER_227_645,VDD,Metal1,368.4800,905.5200,4.999883
FILLER_227_637,VDD,Metal1,366.1865,906.0965,4.999883
FILLER_227_628,VDD,Metal1,358.9600,905.5200,4.999887
FILLER_227_624,VDD,Metal1,357.6600,905.9525,4.999887
FILLER_227_616,VDD,Metal1,354.4265,906.0965,4.999887
