Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_228_942,VSS,Metal1,534.8000,909.4400,0.000067
FILLER_228_933,VSS,Metal1,529.9400,909.7885,0.000067
FILLER_228_917,VSS,Metal1,524.1120,909.9880,0.000067
FILLER_228_885,VSS,Metal1,510.6040,910.0375,0.000066
FILLER_228_871,VSS,Metal1,495.2200,909.7885,0.000065
FILLER_228_807,VSS,Metal1,475.8445,910.0775,0.000065
FILLER_228_789,VSS,Metal1,452.4320,909.9880,0.000065
FILLER_228_758,VSS,Metal1,431.7600,909.4400,0.000066
FILLER_228_749,VSS,Metal1,426.4400,909.4400,0.000066
FILLER_228_745,VSS,Metal1,424.6600,909.7885,0.000066
FILLER_228_737,VSS,Metal1,421.1730,909.9015,0.000066
FILLER_228_671,VSS,Metal1,382.7600,909.4400,0.000064
FILLER_228_667,VSS,Metal1,380.9800,909.7885,0.000064
FILLER_228_635,VSS,Metal1,362.6000,909.4400,0.000060
FILLER_228_633,VSS,Metal1,361.7600,909.4400,0.000060
FILLER_228_629,VSS,Metal1,359.7000,909.7885,0.000059
FILLER_228_597,VSS,Metal1,349.3240,910.0375,0.000056
FILLER_228_591,VSS,Metal1,338.4200,909.7885,0.000056
FILLER_228_527,VSS,Metal1,319.0445,910.0775,0.000056
FILLER_228_521,VSS,Metal1,299.2200,909.7885,0.000056
FILLER_228_457,VSS,Metal1,279.8445,910.0775,0.000056
FILLER_228_454,VSS,Metal1,261.2400,909.4400,0.000056
FILLER_228_452,VSS,Metal1,260.4000,909.4400,0.000056
FILLER_228_448,VSS,Metal1,258.3400,909.7885,0.000056
FILLER_228_416,VSS,Metal1,247.9640,910.0375,0.000057
FILLER_228_354,VSS,Metal1,205.5200,909.4400,0.000058
FILLER_228_346,VSS,Metal1,202.2130,909.9015,0.000056
FILLER_228_330,VSS,Metal1,195.3920,909.9880,0.000056
FILLER_228_314,VSS,Metal1,182.8400,909.4400,0.000055
FILLER_228_310,VSS,Metal1,181.0600,909.7885,0.000055
FILLER_228_278,VSS,Metal1,170.6840,910.0375,0.000055
FILLER_228_247,VSS,Metal1,145.6000,909.4400,0.000055
FILLER_228_229,VSS,Metal1,138.8320,909.9880,0.000052
FILLER_228_223,VSS,Metal1,131.8800,909.4400,0.000052
FILLER_228_221,VSS,Metal1,131.0400,909.4400,0.000052
FILLER_228_217,VSS,Metal1,128.9800,909.7885,0.000052
FILLER_228_209,VSS,Metal1,125.4930,909.9015,0.000051
FILLER_228_177,VSS,Metal1,114.1240,910.0375,0.000048
FILLER_228_171,VSS,Metal1,103.2200,909.7885,0.000048
FILLER_228_107,VSS,Metal1,83.8445,910.0775,0.000048
FILLER_228_101,VSS,Metal1,64.0200,909.7885,0.000048
FILLER_228_37,VSS,Metal1,44.6445,910.0775,0.000048
FILLER_228_34,VSS,Metal1,26.0400,909.4400,0.000048
FILLER_228_2,VSS,Metal1,16.1240,910.0375,0.000048
FILLER_227_1608,VSS,Metal1,907.4800,909.4400,0.000066
FILLER_227_1606,VSS,Metal1,906.6400,909.4400,0.000066
FILLER_227_1542,VSS,Metal1,887.4445,908.8020,0.000066
FILLER_227_1536,VSS,Metal1,867.6200,909.0910,0.000066
FILLER_227_1472,VSS,Metal1,848.2445,908.8020,0.000066
FILLER_227_1466,VSS,Metal1,828.4200,909.0910,0.000066
FILLER_227_1402,VSS,Metal1,809.0445,908.8020,0.000066
FILLER_227_1396,VSS,Metal1,789.2200,909.0910,0.000066
FILLER_227_1332,VSS,Metal1,769.8445,908.8020,0.000066
FILLER_227_1326,VSS,Metal1,750.0200,909.0910,0.000066
FILLER_227_1318,VSS,Metal1,746.5330,908.9780,0.000066
FILLER_227_1302,VSS,Metal1,739.7120,908.8920,0.000066
FILLER_227_1270,VSS,Metal1,726.2040,908.8420,0.000067
FILLER_227_1234,VSS,Metal1,698.0400,909.4400,0.000074
FILLER_227_1226,VSS,Metal1,695.0130,908.9780,0.000074
FILLER_227_1188,VSS,Metal1,672.5600,909.4400,0.000080
FILLER_227_1129,VSS,Metal1,639.2400,909.4400,0.000069
FILLER_227_1127,VSS,Metal1,638.4000,909.4400,0.000069
FILLER_227_1119,VSS,Metal1,633.6400,909.4400,0.000069
FILLER_227_1097,VSS,Metal1,621.3200,909.4400,0.000070
FILLER_227_1095,VSS,Metal1,620.4800,909.4400,0.000070
FILLER_227_1085,VSS,Metal1,614.8800,909.4400,0.000070
FILLER_227_1081,VSS,Metal1,612.8200,909.0910,0.000070
FILLER_227_1020,VSS,Metal1,578.2000,909.4400,0.000069
FILLER_227_1018,VSS,Metal1,577.3600,909.4400,0.000069
FILLER_227_1014,VSS,Metal1,575.3000,909.0910,0.000069
FILLER_227_982,VSS,Metal1,564.9240,908.8420,0.000067
FILLER_227_978,VSS,Metal1,554.9600,909.4400,0.000067
FILLER_227_974,VSS,Metal1,552.9000,909.0910,0.000067
FILLER_227_966,VSS,Metal1,549.4130,908.9780,0.000067
FILLER_227_950,VSS,Metal1,542.5920,908.8920,0.000067
FILLER_227_917,VSS,Metal1,520.9800,909.0910,0.000067
FILLER_227_901,VSS,Metal1,511.5600,909.4400,0.000066
FILLER_227_899,VSS,Metal1,510.7200,909.4400,0.000066
FILLER_227_895,VSS,Metal1,508.6600,909.0910,0.000066
FILLER_227_860,VSS,Metal1,488.6000,909.4400,0.000065
FILLER_227_858,VSS,Metal1,487.7600,909.4400,0.000065
FILLER_227_842,VSS,Metal1,482.1120,908.8920,0.000065
FILLER_227_839,VSS,Metal1,476.8400,909.4400,0.000065
FILLER_227_831,VSS,Metal1,473.8130,908.9780,0.000065
FILLER_227_799,VSS,Metal1,462.4440,908.8420,0.000065
FILLER_227_784,VSS,Metal1,446.3200,909.4400,0.000066
FILLER_227_772,VSS,Metal1,439.6000,909.4400,0.000066
FILLER_227_769,VSS,Metal1,437.6400,909.4400,0.000066
FILLER_227_732,VSS,Metal1,418.3730,908.9780,0.000066
FILLER_227_711,VSS,Metal1,405.4400,909.4400,0.000066
FILLER_227_707,VSS,Metal1,403.3800,909.0910,0.000066
FILLER_227_699,VSS,Metal1,398.4400,909.4400,0.000065
FILLER_227_697,VSS,Metal1,397.6000,909.4400,0.000064
FILLER_227_677,VSS,Metal1,386.5800,909.0910,0.000064
FILLER_227_661,VSS,Metal1,380.7520,908.8920,0.000064
FILLER_227_647,VSS,Metal1,369.3200,909.4400,0.000064
FILLER_227_645,VSS,Metal1,368.4800,909.4400,0.000064
FILLER_227_637,VSS,Metal1,365.1730,908.9780,0.000063
FILLER_227_628,VSS,Metal1,358.9600,909.4400,0.000056
FILLER_227_624,VSS,Metal1,356.9000,909.0910,0.000056
FILLER_227_616,VSS,Metal1,353.4130,908.9780,0.000056
FILLER_227_584,VSS,Metal1,342.0440,908.8420,0.000056
FILLER_227_578,VSS,Metal1,330.6800,909.4400,0.000056
FILLER_227_562,VSS,Metal1,325.3120,908.8920,0.000056
FILLER_227_556,VSS,Metal1,318.8200,909.0910,0.000056
FILLER_227_492,VSS,Metal1,299.4445,908.8020,0.000056
FILLER_227_489,VSS,Metal1,280.8400,909.4400,0.000056
FILLER_227_485,VSS,Metal1,279.0600,909.0910,0.000056
FILLER_227_477,VSS,Metal1,275.5730,908.9780,0.000056
FILLER_227_445,VSS,Metal1,264.2040,908.8420,0.000056
FILLER_227_438,VSS,Metal1,252.5600,909.4400,0.000057
FILLER_227_422,VSS,Metal1,246.9120,908.8920,0.000057
FILLER_227_418,VSS,Metal1,241.3600,909.4400,0.000057
FILLER_227_414,VSS,Metal1,239.3000,909.0910,0.000057
FILLER_227_392,VSS,Metal1,226.5200,909.4400,0.000058
FILLER_227_390,VSS,Metal1,225.6800,909.4400,0.000058
FILLER_227_368,VSS,Metal1,213.0800,909.4400,0.000058
FILLER_227_352,VSS,Metal1,207.7120,908.8920,0.000058
FILLER_227_348,VSS,Metal1,202.1600,909.4400,0.000056
FILLER_227_344,VSS,Metal1,200.1000,909.0910,0.000056
FILLER_227_336,VSS,Metal1,196.6130,908.9780,0.000056
FILLER_227_306,VSS,Metal1,178.3600,909.4400,0.000055
FILLER_227_304,VSS,Metal1,177.5200,909.4400,0.000055
FILLER_227_298,VSS,Metal1,173.8800,909.4400,0.000055
FILLER_227_282,VSS,Metal1,168.5120,908.8920,0.000055
FILLER_227_245,VSS,Metal1,144.2000,909.4400,0.000052
FILLER_227_241,VSS,Metal1,142.4200,909.0910,0.000052
FILLER_227_206,VSS,Metal1,122.8200,909.0910,0.000049
FILLER_227_142,VSS,Metal1,103.4445,908.8020,0.000048
FILLER_227_136,VSS,Metal1,83.6200,909.0910,0.000048
FILLER_227_72,VSS,Metal1,64.2445,908.8020,0.000048
FILLER_227_66,VSS,Metal1,44.4200,909.0910,0.000048
FILLER_227_2,VSS,Metal1,25.0445,908.8020,0.000048
FILLER_226_1609,VSS,Metal1,908.3200,901.6000,0.000094
FILLER_226_1577,VSS,Metal1,898.1240,902.1975,0.000094
FILLER_226_1571,VSS,Metal1,887.2200,901.9485,0.000094
FILLER_226_1507,VSS,Metal1,867.8445,902.2375,0.000094
FILLER_226_1501,VSS,Metal1,848.0200,901.9485,0.000094
FILLER_226_1437,VSS,Metal1,828.6445,902.2375,0.000094
FILLER_226_1431,VSS,Metal1,808.8200,901.9485,0.000094
FILLER_226_1367,VSS,Metal1,789.4445,902.2375,0.000094
