net,length_um
net379,136.89µm
pp_inst.core_inst.asconp_i.x3\[1\],136.74µm
net1608,136.74µm
pp_inst.core_inst.asconp_i.x4\[49\],136.69µm
_05707_,136.64µm
pp_inst.core_inst.asconp_i.x3\[27\],136.38µm
pp_inst.core_inst.asconp_i.x3\[11\],136.33µm
net29,136.33µm
_09509_,136.18µm
net411,135.87µm
_09567_,135.67µm
_08372_,135.62µm
_03679_,135.52µm
_11022_,135.11µm
_11993_,135.11µm
pp_inst.core_inst.asconp_i.x4\[63\],135.11µm
net36,134.65µm
_07139_,134.55µm
net454,134.5µm
_04928_,134.4µm
_04909_,133.84µm
_11260_,133.84µm
net1042,133.4µm
key\[3\],133.33µm
_11829_,133.28µm
pp_inst.core_inst.asconp_i.x3\[40\],132.97µm
net1797,132.92µm
pp_inst.core_inst.key_q\[69\],132.87µm
net1611,132.87µm
_10065_,132.77µm
pp_inst.core_inst.key_q\[73\],132.72µm
net684,132.51µm
pp_inst.core_inst.asconp_i.x3\[57\],132.41µm
_10602_,132.26µm
pp_inst.core_inst.key_q\[7\],132.26µm
_05321_,132.16µm
_06491_,132.16µm
pp_inst.core_inst.asconp_i.x3\[30\],131.9µm
net375,131.9µm
net522,131.9µm
clknet_leaf_340_clk,131.8µm
_09683_,131.7µm
pp_inst.core_inst.asconp_i.x1\[52\],131.7µm
net999,131.7µm
_11048_,131.65µm
_04265_,131.6µm
net49,131.44µm
pp_inst.flush_buffer,131.39µm
net506,131.19µm
_11174_,131.09µm
_11542_,131.09µm
_12041_,131.09µm
net355,131.09µm
net431,130.68µm
pp_inst.core_inst.asconp_i.x4\[56\],130.58µm
_06039_,130.53µm
pp_inst.core_inst.asconp_i.x3\[62\],130.48µm
net1845,130.27µm
pp_inst.core_inst.asconp_i.x3\[20\],130.22µm
net9,130.22µm
pp_inst.core_inst.asconp_i.x4\[33\],130.17µm
pp_inst.core_inst.key_q\[32\],129.97µm
pp_inst.core_inst.asconp_i.x4\[43\],129.51µm
net1048,129.46µm
_11775_,129.41µm
net56,129.1µm
_11026_,129µm
net461,129µm
net1659,128.95µm
_06069_,128.9µm
_05927_,128.85µm
pp_inst.core_inst.asconp_i.x1\[5\],128.49µm
pp_inst.core_inst.asconp_i.x4\[52\],128.39µm
net487,128.39µm
_09485_,128.34µm
_11049_,128.24µm
pp_inst.core_inst.asconp_i.x3\[51\],128.08µm
pp_inst.core_inst.asconp_i.x3\[18\],128.03µm
pp_inst.core_inst.asconp_i.x4\[11\],128.03µm
_07070_,127.88µm
_09209_,127.88µm
net1043,127.88µm
pp_inst.core_inst.asconp_i.x3\[16\],127.83µm
_10219_,127.73µm
_11323_,127.73µm
_11612_,127.73µm
pp_inst.core_inst.asconp_i.x3\[2\],127.73µm
_10882_,127.68µm
pp_inst.core_inst.asconp_i.x3\[15\],127.42µm
net1694,127.37µm
_09937_,127.32µm
_04579_,127.27µm
spi_ctrl.word_buf\[16\],127.27µm
_10026_,127.22µm
_03547_,127.12µm
net1635,127.01µm
net749,126.81µm
_09291_,126.71µm
net17,126.66µm
net1848,126.61µm
_11217_,126.56µm
pp_inst.core_inst.asconp_i.x3\[44\],126.35µm
net516,126.3µm
pp_inst.core_inst.asconp_i.x3\[34\],126.2µm
pp_inst.core_inst.asconp_i.x4\[20\],126.15µm
pp_inst.core_inst.asconp_i.x4\[4\],125.97µm
_09306_,125.59µm
_06830_,125.49µm
_05915_,125.44µm
_10594_,125.44µm
_10320_,125.18µm
pp_inst.core_inst.asconp_i.x2\[53\],125.13µm
pp_inst.core_inst.asconp_i.x3\[13\],125.13µm
net373,125.13µm
net982,125.03µm
net1752,125.03µm
_09381_,124.93µm
net1856,124.9µm
_03405_,124.88µm
net75,124.82µm
pp_inst.core_inst.asconp_i.x4\[31\],124.57µm
pp_inst.core_inst.asconp_i.x3\[42\],124.42µm
_09526_,124.37µm
_09562_,124.37µm
_06134_,124.32µm
pp_inst.core_inst.asconp_i.x3\[41\],124.21µm
net981,124.11µm
pp_inst.core_inst.asconp_i.x4\[51\],124.09µm
_11868_,123.81µm
net31,123.5µm
_11089_,123.35µm
net1751,123.35µm
pp_inst.core_inst.asconp_i.x4\[46\],123.3µm
_10546_,123.25µm
pp_inst.core_inst.pro_msg,123.25µm
_07242_,123.2µm
pp_inst.core_inst.asconp_i.x3\[3\],122.89µm
pp_inst.core_inst.asconp_i.x2\[55\],122.69µm
_10906_,122.33µm
pp_inst.core_inst.asconp_i.x4\[0\],122.33µm
_09602_,122.28µm
pp_inst.core_inst.asconp_i.x4\[60\],122.28µm
net33,122.18µm
_06715_,122.13µm
_11937_,122.08µm
net74,121.87µm
pp_inst.core_inst.asconp_i.x3\[33\],121.77µm
net390,121.72µm
_09527_,121.67µm
_07412_,121.57µm
spi_ctrl.tx_shift_reg\[30\],121.52µm
pp_inst.core_inst.init,121.16µm
net1766,121.16µm
pp_inst.core_inst.asconp_i.x4\[10\],121.11µm
net19,121.11µm
pp_inst.core_inst.asconp_i.x0\[19\],121.06µm
net1753,121.06µm
_07310_,121.01µm
_08207_,121.01µm
clknet_6_21_0_clk,121.01µm
_04258_,120.96µm
_09832_,120.68µm
pp_inst.core_inst.asconp_i.x2\[61\],120.55µm
pp_inst.core_inst.key_q\[12\],120.55µm
_11265_,120.4µm
pp_inst.core_inst.asconp_i.x2\[52\],120.14µm
auth,119.89µm
pp_inst.core_inst.asconp_i.x4\[48\],119.48µm
net1464,119.43µm
net1795,119.43µm
_06747_,119.38µm
_11161_,119.38µm
_05459_,119.33µm
_04126_,119.28µm
_09992_,119.28µm
net689,119.07µm
pp_inst.core_inst.asconp_i.x2\[47\],119.02µm
pp_inst.core_inst.asconp_i.x1\[62\],118.87µm
_09508_,118.82µm
net1000,118.77µm
_09575_,118.41µm
pp_inst.core_inst.asconp_i.x1\[17\],118.41µm
net1037,118.36µm
net41,118.31µm
net1837,118.26µm
_05929_,118.16µm
_11313_,118.16µm
pp_inst.core_inst.asconp_i.x2\[37\],117.9µm
pp_inst.core_inst.asconp_i.x1\[57\],117.8µm
_09436_,117.65µm
net932,117.19µm
_10755_,117.04µm
net1767,116.63µm
pp_inst.core_inst.asconp_i.x3\[6\],116.58µm
_11332_,116.53µm
pp_inst.core_inst.asconp_i.x2\[49\],116.53µm
_09848_,116.48µm
pp_inst.core_inst.asconp_i.x4\[50\],116.17µm
pp_inst.core_inst.asconp_i.x1\[48\],116.12µm
net517,116.12µm
_10043_,116.07µm
net447,116.02µm
_07943_,115.92µm
net418,115.56µm
net1679,115.51µm
net480,115.41µm
_03996_,115.36µm
_05064_,115.36µm
_06162_,115.36µm
net515,115.15µm
pp_inst.core_inst.asconp_i.x4\[34\],115µm
net1852,115µm
net354,114.44µm
_04632_,114.34µm
pp_inst.core_inst.asconp_i.x1\[45\],114.34µm
_08504_,114.24µm
_10603_,113.93µm
_10647_,113.93µm
pp_inst.core_inst.asconp_i.x2\[50\],113.93µm
net11,113.93µm
spi_ctrl.tx_stage_valid,113.88µm
net378,113.88µm
_09566_,113.83µm
pp_inst.core_inst.asconp_i.x2\[29\],113.83µm
pp_inst.core_inst.asconp_i.x4\[1\],113.78µm
pp_inst.core_inst.asconp_i.x0\[18\],113.73µm
_03972_,113.68µm
_09511_,113.4µm
pp_inst.core_inst.asconp_i.x1\[16\],113.22µm
_04481_,113.12µm
_11459_,113.12µm
pp_inst.core_inst.asconp_i.x3\[23\],112.86µm
net381,112.76µm
pp_inst.core_inst.key_q\[106\],112.71µm
_06961_,112.56µm
_11430_,112.56µm
pp_inst.core_inst.asconp_i.x3\[17\],112.25µm
_06337_,112.1µm
_11035_,112.1µm
pp_inst.core_inst.asconp_i.x2\[56\],112.1µm
net429,112.1µm
pp_inst.core_inst.key_q\[36\],111.69µm
_09590_,111.64µm
_10022_,111.59µm
_09275_,111.49µm
_05530_,111.44µm
_09515_,111.13µm
_12024_,111.03µm
_11123_,110.98µm
_12044_,110.98µm
pp_inst.core_inst.asconp_i.x3\[58\],110.62µm
clknet_leaf_446_clk,110.62µm
net464,110.57µm
net361,110.47µm
_06316_,110.42µm
_06431_,110.42µm
net1028,110.42µm
_12006_,110.37µm
pp_inst.core_inst.asconp_i.x3\[26\],110.11µm
pp_inst.core_inst.asconp_i.x3\[39\],109.96µm
_09292_,109.86µm
_09535_,109.86µm
_09536_,109.81µm
_09778_,109.81µm
_05498_,109.76µm
pp_inst.core_inst.asconp_i.x2\[60\],109.4µm
pp_inst.core_inst.key_q\[1\],109.35µm
pp_inst.core_inst.reg_cnt_i.data_q\[2\],109.35µm
net992,109.35µm
clknet_leaf_190_clk,109.35µm
net1841,109.3µm
_07343_,109.2µm
_09569_,108.84µm
net57,108.84µm
_09103_,108.74µm
_09484_,108.74µm
pp_inst.core_inst.asconp_i.x3\[60\],108.74µm
_05511_,108.69µm
pp_inst.core_inst.key_q\[100\],108.69µm
pp_inst.core_inst.key_q\[48\],108.64µm
mode\[1\],108.18µm
_10868_,108.13µm
_06518_,108.08µm
_09886_,108.08µm
_09470_,107.72µm
pp_inst.core_inst.asconp_i.x2\[54\],107.72µm
_05336_,107.62µm
net344,107.62µm
_04003_,107.57µm
_04462_,107.57µm
_09276_,107.57µm
_09730_,107.52µm
rx_data\[4\],107.34µm
_09595_,107.31µm
pp_inst.core_inst.asconp_i.x1\[11\],107.21µm
pp_inst.core_inst.asconp_i.x1\[1\],107.21µm
_09576_,107.16µm
pp_inst.core_inst.asconp_i.x2\[43\],107.11µm
_03546_,107.01µm
_04342_,107.01µm
_05092_,106.96µm
pp_inst.core_inst.asconp_i.x2\[63\],106.75µm
pp_inst.core_inst.asconp_i.x3\[24\],106.7µm
net1041,106.6µm
_09522_,106.55µm
pp_inst.core_inst.key_q\[64\],106.55µm
_11999_,106.45µm
_10488_,106.4µm
_11821_,106.4µm
clknet_leaf_226_clk,106.09µm
_05869_,105.99µm
_09210_,105.99µm
_09407_,105.94µm
_09433_,105.84µm
net1003,105.58µm
_09564_,105.53µm
pp_inst.core_inst.asconp_i.x3\[54\],105.53µm
net458,105.53µm
pp_inst.core_inst.key_q\[22\],105.43µm
_10258_,105.38µm
pp_inst.core_inst.asconp_i.x4\[41\],105.38µm
net1789,105.38µm
_04217_,105.28µm
_10719_,105.28µm
_09351_,104.87µm
pp_inst.core_inst.asconp_i.x2\[27\],104.87µm
_09696_,104.36µm
pp_inst.core_inst.asconp_i.x1\[3\],104.31µm
pp_inst.core_inst.asconp_i.x4\[53\],104.31µm
pp_inst.core_inst.key_q\[65\],104.31µm
_10495_,104.26µm
spi_ctrl.word_buf\[1\],104.26µm
_06900_,104.21µm
_09552_,104.21µm
_05841_,104.16µm
_07613_,104.16µm
net1442,103.9µm
pp_inst.core_inst.asconp_i.x1\[22\],103.85µm
net523,103.85µm
key\[25\],103.8µm
pp_inst.core_inst.key_q\[112\],103.65µm
_03958_,103.6µm
pp_inst.core_inst.asconp_i.x3\[29\],103.39µm
pp_inst.core_inst.asconp_i.x1\[23\],103.29µm
pp_inst.core_inst.asconp_i.x4\[36\],103.29µm
clknet_leaf_444_clk,103.24µm
_09101_,103.19µm
pp_inst.core_inst.asconp_i.x4\[14\],103.19µm
net384,103.19µm
clknet_leaf_308_clk,103.19µm
_10174_,103.14µm
_09545_,103.09µm
clknet_leaf_324_clk,102.78µm
pp_inst.core_inst.asconp_i.x1\[50\],102.68µm
net1862,102.68µm
_09523_,102.63µm
_09750_,102.63µm
pp_inst.core_inst.asconp_i.x2\[41\],102.53µm
pp_inst.core_inst.key_q\[76\],102.53µm
_12003_,102.48µm
pp_inst.core_inst.asconp_i.x4\[2\],102.07µm
pp_inst.core_inst.key_q\[109\],102.07µm
clknet_leaf_271_clk,102.07µm
_11058_,102.02µm
_04267_,101.97µm
_06844_,101.97µm
clknet_leaf_469_clk,101.97µm
_03572_,101.92µm
clknet_leaf_316_clk,101.56µm
clknet_leaf_91_clk,101.51µm
clknet_leaf_208_clk,101.51µm
pp_inst.core_inst.asconp_i.x1\[25\],101.46µm
_10833_,101.41µm
_05205_,101.36µm
pp_inst.core_inst.asconp_i.x1\[18\],101µm
clknet_leaf_428_clk,100.95µm
_09589_,100.9µm
_09651_,100.9µm
net475,100.9µm
net489,100.9µm
_03948_,100.8µm
_11395_,100.8µm
_12069_,100.8µm
clknet_leaf_145_clk,100.49µm
clknet_leaf_245_clk,100.44µm
pp_inst.core_inst.key_q\[63\],100.39µm
net428,100.39µm
_05330_,100.34µm
net357,100.34µm
_06790_,100.29µm
spi_ctrl.pend_valid,100.29µm
_09104_,100.24µm
pp_inst.core_inst.asconp_i.x1\[43\],100.03µm
_09461_,99.83µm
pp_inst.core_inst.asconp_i.x1\[15\],99.83µm
pp_inst.core_inst.asconp_i.x2\[8\],99.83µm
clknet_leaf_120_clk,99.83µm
_09741_,99.78µm
pp_inst.core_inst.asconp_i.x3\[7\],99.78µm
clknet_leaf_379_clk,99.78µm
_06879_,99.68µm
pp_inst.core_inst.asconp_i.x1\[39\],99.37µm
pp_inst.core_inst.asconp_i.x1\[8\],99.32µm
key\[16\],99.27µm
net1514,99.27µm
_06106_,99.22µm
_11996_,99.22µm
_09652_,99.12µm
_09760_,99.12µm
clknet_leaf_314_clk,98.86µm
pp_inst.core_inst.asconp_i.x3\[9\],98.81µm
net1011,98.66µm
_11991_,98.61µm
net1493,98.61µm
_07003_,98.56µm
_11349_,98.56µm
_12223_,98.56µm
net606,98.4µm
net534,98.35µm
_11916_,98.3µm
_09613_,98.2µm
pp_inst.core_inst.asconp_i.x1\[51\],98.2µm
pp_inst.core_inst.asconp_i.x3\[10\],98.2µm
pp_inst.wr_ptr\[3\],98.2µm
pp_inst.core_inst.key_q\[31\],98.1µm
_03993_,98.05µm
_09126_,98.05µm
_09542_,98.05µm
_11300_,98.05µm
_04039_,98µm
_04964_,98µm
_05573_,98µm
_10163_,97.64µm
pp_inst.core_inst.key_q\[16\],97.64µm
_09641_,97.59µm
clknet_leaf_196_clk,97.59µm
_05005_,97.54µm
_09107_,97.54µm
_09744_,97.54µm
_11023_,97.49µm
_09678_,97.44µm
pp_inst.core_inst.asconp_i.x3\[36\],97.08µm
_05647_,96.98µm
_09548_,96.98µm
_09631_,96.98µm
net1511,96.98µm
_09201_,96.93µm
_09780_,96.93µm
_09618_,96.88µm
_11302_,96.88µm
pp_inst.core_inst.asconp_i.x4\[55\],96.57µm
net987,96.52µm
_09106_,96.47µm
_09599_,96.47µm
pp_inst.core_inst.asconp_i.x3\[4\],96.47µm
net73,96.47µm
net1700,96.47µm
pp_inst.core_inst.asconp_i.x3\[37\],96.42µm
_03584_,96.32µm
_10407_,96.32µm
_11453_,96.32µm
net394,96.01µm
_10373_,95.96µm
net1014,95.91µm
clknet_leaf_390_clk,95.91µm
_07446_,95.86µm
pp_inst.core_inst.asconp_i.x1\[13\],95.86µm
bdi_type\[2\],95.81µm
pp_inst.core_inst.asconp_i.x4\[28\],95.81µm
pp_inst.core_inst.asconp_i.x4\[3\],95.81µm
clknet_leaf_373_clk,95.76µm
_06964_,95.4µm
net50,95.4µm
pp_inst.core_inst.key_q\[125\],95.35µm
_09619_,95.3µm
_12109_,95.25µm
mode\[2\],95.25µm
_06172_,95.2µm
pp_inst.core_inst.asconp_i.x2\[40\],94.94µm
clknet_leaf_225_clk,94.84µm
net1407,94.74µm
clknet_leaf_474_clk,94.74µm
_04673_,94.69µm
_09674_,94.69µm
pp_inst.core_inst.key_q\[77\],94.69µm
_06060_,94.64µm
pp_inst.core_inst.asconp_i.x1\[20\],94.33µm
pp_inst.core_inst.asconp_i.x1\[37\],94.28µm
pp_inst.core_inst.asconp_i.x4\[23\],94.23µm
_10369_,94.18µm
_05282_,94.13µm
_10947_,94.13µm
_03559_,94.08µm
_09519_,93.87µm
net482,93.77µm
pp_inst.core_inst.key_q\[0\],93.72µm
_04099_,93.62µm
_11114_,93.62µm
pp_inst.core_inst.key_q\[82\],93.62µm
net470,93.62µm
net1779,93.62µm
clknet_leaf_322_clk,93.62µm
_03859_,93.52µm
_11417_,93.52µm
_10492_,93.39µm
net1040,93.21µm
pp_inst.core_inst.asconp_i.x4\[17\],93.06µm
pp_inst.core_inst.reg_cnt_i.data_q\[3\],93.06µm
_12036_,93.01µm
_12010_,92.96µm
pp_inst.core_inst.asconp_i.x2\[36\],92.65µm
pp_inst.core_inst.asconp_i.x0\[23\],92.6µm
clknet_leaf_265_clk,92.6µm
pp_inst.core_inst.asconp_i.x3\[63\],92.55µm
clknet_leaf_534_clk,92.55µm
clknet_leaf_450_clk,92.5µm
clknet_leaf_655_clk,92.5µm
_09724_,92.45µm
_04443_,92.4µm
clknet_leaf_214_clk,92.09µm
net1855,91.99µm
_09472_,91.94µm
pp_inst.core_inst.asconp_i.x1\[31\],91.94µm
pp_inst.core_inst.key_q\[49\],91.94µm
net1614,91.94µm
_06945_,91.89µm
_09615_,91.89µm
pp_inst.core_inst.asconp_i.x2\[2\],91.89µm
_06238_,91.84µm
_11243_,91.84µm
pp_inst.core_inst.asconp_i.x2\[21\],91.58µm
_05247_,91.43µm
_09413_,91.43µm
clknet_leaf_291_clk,91.43µm
_07445_,91.33µm
pp_inst.core_inst.asconp_i.x1\[47\],91.33µm
pp_inst.core_inst.key_q\[111\],91.33µm
clknet_leaf_200_clk,91.12µm
pp_inst.core_inst.kadd_4_done,90.87µm
_09100_,90.82µm
pp_inst.core_inst.key_q\[38\],90.82µm
net14,90.82µm
net465,90.82µm
_04531_,90.77µm
_07241_,90.77µm
_11293_,90.77µm
pp_inst.core_inst.asconp_i.x4\[58\],90.77µm
net23,90.77µm
_04653_,90.72µm
pp_inst.core_inst.asconp_i.x2\[42\],90.54µm
net503,90.46µm
_04040_,90.41µm
_09609_,90.36µm
clknet_leaf_231_clk,90.31µm
pp_inst.core_inst.key_q\[126\],90.26µm
clknet_leaf_293_clk,90.26µm
net1319,90.21µm
_09929_,90.16µm
spi_ctrl.word_buf\[7\],90.03µm
clknet_leaf_166_clk,89.85µm
clknet_leaf_99_clk,89.8µm
_09414_,89.75µm
clknet_leaf_420_clk,89.75µm
pp_inst.core_inst.key_q\[13\],89.7µm
_04298_,89.65µm
_06219_,89.65µm
_12009_,89.65µm
clknet_leaf_32_clk,89.6µm
pp_inst.core_inst.asconp_i.x1\[61\],89.39µm
pp_inst.core_inst.asconp_i.x1\[0\],89.19µm
pp_inst.core_inst.key_q\[75\],89.19µm
clknet_leaf_306_clk,89.14µm
_04178_,89.09µm
_05007_,89.09µm
_09274_,89.04µm
_09578_,89.04µm
clknet_leaf_468_clk,88.63µm
_09108_,88.58µm
pp_inst.core_inst.asconp_i.x1\[49\],88.58µm
pp_inst.core_inst.asconp_i.x1\[63\],88.58µm
clknet_leaf_286_clk,88.58µm
clknet_leaf_628_clk,88.58µm
clknet_leaf_338_clk,88.57µm
_10996_,88.53µm
_09685_,88.48µm
pp_inst.core_inst.asconp_i.x1\[54\],88.17µm
clknet_leaf_127_clk,88.17µm
pp_inst.wr_ptr\[4\],88.12µm
clknet_leaf_168_clk,88.12µm
clknet_leaf_396_clk,88.12µm
pp_inst.core_inst.asconp_i.x4\[45\],88.07µm
clknet_leaf_360_clk,88.07µm
_04502_,87.97µm
_06810_,87.97µm
_11910_,87.97µm
_12102_,87.97µm
key\[0\],87.97µm
_06817_,87.92µm
_11341_,87.92µm
clknet_leaf_164_clk,87.76µm
net441,87.66µm
_09408_,87.61µm
clknet_leaf_199_clk,87.61µm
clknet_leaf_62_clk,87.56µm
clknet_leaf_267_clk,87.51µm
clknet_leaf_453_clk,87.51µm
_03734_,87.41µm
pp_inst.core_inst.key_q\[42\],87.41µm
_03521_,87.36µm
_03586_,87.36µm
_03994_,87.36µm
_09554_,87µm
_09550_,86.95µm
clknet_leaf_393_clk,86.95µm
_05493_,86.9µm
clknet_leaf_117_clk,86.9µm
clknet_leaf_175_clk,86.85µm
_03434_,86.8µm
_12216_,86.8µm
_07001_,86.44µm
_09154_,86.39µm
pp_inst.core_inst.asconp_i.x1\[12\],86.39µm
clknet_leaf_388_clk,86.39µm
_09629_,86.34µm
_11317_,86.34µm
pp_inst.core_inst.asconp_i.x1\[41\],86.34µm
pp_inst.core_inst.asconp_i.x2\[46\],86.34µm
pp_inst.core_inst.key_q\[93\],86.34µm
clknet_leaf_222_clk,86.34µm
_05966_,86.29µm
_09790_,86.29µm
_06125_,86.24µm
net360,85.93µm
net991,85.83µm
spi_ctrl.pend_type\[1\],85.78µm
clknet_leaf_41_clk,85.78µm
_09999_,85.73µm
_10993_,85.73µm
pp_inst.core_inst.asconp_i.x0\[6\],85.73µm
_06310_,85.68µm
_10612_,85.68µm
pp_inst.core_inst.asconp_i.x2\[57\],85.37µm
_09473_,85.32µm
clknet_leaf_216_clk,85.32µm
clknet_leaf_371_clk,85.32µm
_09278_,85.27µm
_10925_,85.27µm
pp_inst.core_inst.asconp_i.x3\[5\],85.27µm
_07036_,85.22µm
_04231_,85.17µm
_04260_,85.17µm
_11637_,85.17µm
pp_inst.core_inst.key_q\[9\],85.17µm
_06968_,85.12µm
pp_inst.core_inst.asconp_i.x1\[38\],84.81µm
clknet_leaf_281_clk,84.71µm
_09339_,84.66µm
_09435_,84.61µm
pp_inst.core_inst.asconp_i.x2\[38\],84.61µm
_03533_,84.56µm
net398,84.25µm
clknet_leaf_344_clk,84.25µm
pp_inst.core_inst.asconp_i.x4\[47\],84.2µm
clknet_leaf_325_clk,84.2µm
_09238_,84.15µm
pp_inst.core_inst.asconp_i.x2\[23\],84.15µm
pp_inst.core_inst.asconp_i.x2\[3\],84.15µm
net21,84.15µm
clknet_leaf_98_clk,84.15µm
_03570_,84.1µm
rx_data\[6\],84.1µm
_03501_,84.05µm
_04528_,84.05µm
_06325_,84.05µm
pp_inst.core_inst.asconp_i.x1\[59\],84.05µm
_11307_,84µm
pp_inst.core_inst.asconp_i.x0\[25\],83.77µm
clknet_leaf_109_clk,83.69µm
clknet_leaf_653_clk,83.69µm
_08075_,83.64µm
clknet_leaf_125_clk,83.64µm
clknet_leaf_318_clk,83.64µm
clknet_leaf_665_clk,83.64µm
key\[24\],83.59µm
pp_inst.core_inst.asconp_i.x3\[12\],83.59µm
pp_inst.core_inst.key_q\[34\],83.59µm
pp_inst.core_inst.asconp_i.x4\[22\],83.54µm
clknet_leaf_34_clk,83.54µm
_04108_,83.49µm
net1839,83.49µm
_07411_,83.32µm
clknet_leaf_191_clk,83.13µm
clknet_leaf_302_clk,83.13µm
clknet_leaf_263_clk,83.08µm
_11092_,83.03µm
clknet_leaf_94_clk,83.03µm
pp_inst.core_inst.asconp_i.x1\[6\],82.98µm
pp_inst.rd_ptr\[5\],82.98µm
_09239_,82.93µm
_09770_,82.93µm
_06180_,82.88µm
_06463_,82.88µm
pp_inst.core_inst.asconp_i.x1\[55\],82.57µm
clknet_leaf_349_clk,82.52µm
_09850_,82.47µm
key\[26\],82.47µm
clknet_leaf_107_clk,82.47µm
clknet_leaf_334_clk,82.47µm
clknet_leaf_385_clk,82.47µm
_10903_,82.42µm
pp_inst.core_inst.asconp_i.x1\[35\],82.42µm
clknet_leaf_232_clk,82.42µm
clknet_leaf_509_clk,82.42µm
rx_data\[2\],82.37µm
_04505_,82.32µm
_11351_,82.32µm
pp_inst.core_inst.asconp_i.x1\[14\],81.96µm
pp_inst.core_inst.asconp_i.x4\[9\],81.91µm
pp_inst.core_inst.key_q\[18\],81.91µm
pp_inst.core_inst.key_q\[94\],81.86µm
pp_inst.wr_ptr\[1\],81.86µm
clknet_leaf_654_clk,81.86µm
_03587_,81.81µm
_05896_,81.81µm
pp_inst.core_inst.asconp_i.x4\[24\],81.81µm
_04426_,81.76µm
_12144_,81.76µm
pp_inst.core_inst.asconp_i.x4\[25\],81.45µm
clknet_leaf_178_clk,81.4µm
pp_inst.core_inst.asconp_i.x0\[32\],81.35µm
net1793,81.35µm
clknet_leaf_176_clk,81.35µm
clknet_leaf_243_clk,81.35µm
clknet_leaf_255_clk,81.35µm
_03531_,81.25µm
pp_inst.core_inst.asconp_i.x0\[35\],81.25µm
pp_inst.core_inst.asconp_i.x1\[56\],81.25µm
clknet_leaf_659_clk,81.25µm
_04174_,81.2µm
_06824_,81.2µm
_07976_,81.2µm
spi_ctrl.tx_shift_reg\[3\],81.2µm
clknet_leaf_335_clk,80.84µm
clknet_leaf_106_clk,80.79µm
clknet_leaf_203_clk,80.79µm
_03523_,80.74µm
net520,80.74µm
clknet_leaf_297_clk,80.74µm
clknet_leaf_483_clk,80.74µm
_11901_,80.69µm
_07377_,80.64µm
_10376_,80.38µm
pp_inst.core_inst.key_q\[61\],80.23µm
pp_inst.core_inst.key_q\[98\],80.23µm
clknet_leaf_151_clk,80.23µm
pp_inst.core_inst.key_q\[41\],80.18µm
pp_inst.rd_ptr\[2\],80.13µm
net1860,80.13µm
pp_inst.core_inst.asconp_i.x3\[35\],79.77µm
clknet_leaf_248_clk,79.77µm
clknet_leaf_309_clk,79.77µm
pp_inst.core_inst.asconp_i.x1\[9\],79.72µm
_10048_,79.67µm
key\[14\],79.67µm
clknet_leaf_230_clk,79.62µm
clknet_leaf_234_clk,79.62µm
clknet_leaf_279_clk,79.62µm
pp_inst.core_inst.asconp_i.x2\[26\],79.57µm
pp_inst.core_inst.key_q\[11\],79.57µm
_12029_,79.52µm
clknet_leaf_254_clk,79.21µm
clknet_leaf_201_clk,79.16µm
clknet_leaf_345_clk,79.16µm
clknet_leaf_448_clk,79.16µm
pp_inst.core_inst.asconp_i.x1\[28\],79.11µm
pp_inst.core_inst.asconp_i.x2\[1\],79.11µm
net412,79.11µm
mode\[3\],79.06µm
clknet_leaf_520_clk,79.06µm
_12064_,79.01µm
_03635_,78.96µm
_03767_,78.96µm
_12042_,78.96µm
_10134_,78.89µm
pp_inst.core_inst.asconp_i.x1\[30\],78.6µm
pp_inst.core_inst.key_q\[80\],78.6µm
clknet_leaf_210_clk,78.6µm
_09798_,78.55µm
clknet_leaf_432_clk,78.55µm
pp_inst.core_inst.asconp_i.x0\[56\],78.5µm
spi_ctrl.word_buf\[8\],78.5µm
net1582,78.5µm
_01835_,78.4µm
_11360_,78.4µm
_12280_,78.4µm
clknet_leaf_304_clk,78.24µm
pp_inst.core_inst.asconp_i.x4\[59\],78.09µm
clknet_leaf_35_clk,78.09µm
clknet_leaf_452_clk,78.09µm
net409,78.04µm
_06837_,77.99µm
net484,77.99µm
clknet_leaf_323_clk,77.99µm
_06872_,77.94µm
spi_ctrl.state\[2\],77.94µm
_06097_,77.89µm
_10575_,77.89µm
pp_inst.core_inst.asconp_i.x4\[37\],77.89µm
clknet_leaf_289_clk,77.89µm
_04417_,77.84µm
_04433_,77.84µm
_04456_,77.84µm
clknet_leaf_341_clk,77.53µm
clknet_leaf_478_clk,77.53µm
_09222_,77.43µm
pp_inst.core_inst.asconp_i.x4\[12\],77.43µm
net436,77.38µm
clknet_leaf_242_clk,77.37µm
_09474_,77.33µm
pp_inst.wr_ptr\[5\],77.33µm
net439,77.33µm
_03768_,77.28µm
_05795_,77.28µm
_06599_,77.28µm
_06952_,77.28µm
_11757_,77.28µm
clknet_leaf_404_clk,77.28µm
pp_inst.core_inst.asconp_i.x2\[51\],77.07µm
clknet_leaf_336_clk,76.97µm
clknet_leaf_524_clk,76.97µm
_09213_,76.92µm
clknet_leaf_342_clk,76.87µm
clknet_leaf_441_clk,76.87µm
_11906_,76.82µm
clknet_leaf_84_clk,76.82µm
pp_inst.core_inst.asconp_i.x0\[1\],76.77µm
pp_inst.wr_ptr\[2\],76.77µm
clknet_leaf_501_clk,76.77µm
_03716_,76.72µm
_04611_,76.72µm
spi_ctrl.tx_shift_reg\[2\],76.72µm
clknet_leaf_179_clk,76.36µm
clknet_leaf_241_clk,76.36µm
