Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_228_1147,VSS,Metal1,650.7730,909.9015,0.000161
FILLER_228_1087,VSS,Metal1,616.0000,909.4400,0.000170
FILLER_228_1055,VSS,Metal1,597.8000,909.4400,0.000171
FILLER_228_1053,VSS,Metal1,596.9600,909.4400,0.000171
FILLER_228_1049,VSS,Metal1,594.9000,909.7885,0.000172
FILLER_228_1017,VSS,Metal1,584.5240,910.0375,0.000174
FILLER_228_1011,VSS,Metal1,573.6200,909.7885,0.000174
FILLER_228_947,VSS,Metal1,554.2445,910.0775,0.000175
FILLER_228_941,VSS,Metal1,534.4200,909.7885,0.000175
FILLER_228_877,VSS,Metal1,515.0445,910.0775,0.000169
FILLER_228_871,VSS,Metal1,495.2200,909.7885,0.000159
FILLER_228_807,VSS,Metal1,475.8445,910.0775,0.000157
FILLER_228_804,VSS,Metal1,457.2400,909.4400,0.000157
FILLER_228_796,VSS,Metal1,454.2130,909.9015,0.000157
FILLER_228_780,VSS,Metal1,447.3920,909.9880,0.000157
FILLER_228_750,VSS,Metal1,427.0000,909.4400,0.000158
FILLER_228_719,VSS,Metal1,413.2320,909.9880,0.000158
FILLER_228_689,VSS,Metal1,392.8400,909.4400,0.000153
FILLER_228_687,VSS,Metal1,392.0000,909.4400,0.000153
FILLER_228_683,VSS,Metal1,389.9400,909.7885,0.000153
FILLER_228_677,VSS,Metal1,386.1200,909.4400,0.000153
FILLER_228_667,VSS,Metal1,380.8000,909.4400,0.000153
FILLER_228_663,VSS,Metal1,378.5600,909.4400,0.000153
FILLER_228_659,VSS,Metal1,376.5000,909.7885,0.000147
FILLER_228_651,VSS,Metal1,373.0130,909.9015,0.000145
FILLER_228_635,VSS,Metal1,366.1920,909.9880,0.000145
FILLER_228_605,VSS,Metal1,345.8000,909.4400,0.000132
FILLER_228_597,VSS,Metal1,342.7730,909.9015,0.000131
FILLER_228_591,VSS,Metal1,338.4200,909.7885,0.000131
FILLER_228_527,VSS,Metal1,319.0445,910.0775,0.000130
FILLER_228_521,VSS,Metal1,299.2200,909.7885,0.000130
FILLER_228_457,VSS,Metal1,279.8445,910.0775,0.000130
FILLER_228_451,VSS,Metal1,260.0200,909.7885,0.000130
FILLER_228_419,VSS,Metal1,249.6440,910.0375,0.000130
FILLER_228_389,VSS,Metal1,224.8400,909.4400,0.000129
FILLER_228_387,VSS,Metal1,224.0000,909.4400,0.000129
FILLER_228_354,VSS,Metal1,205.5200,909.4400,0.000125
FILLER_228_346,VSS,Metal1,202.2130,909.9015,0.000091
FILLER_228_311,VSS,Metal1,181.6200,909.7885,0.000082
FILLER_228_281,VSS,Metal1,164.3600,909.4400,0.000078
FILLER_228_279,VSS,Metal1,163.5200,909.4400,0.000072
FILLER_228_247,VSS,Metal1,153.3240,910.0375,0.000071
FILLER_228_241,VSS,Metal1,142.4200,909.7885,0.000071
FILLER_228_177,VSS,Metal1,123.0445,910.0775,0.000071
FILLER_228_171,VSS,Metal1,103.2200,909.7885,0.000071
FILLER_228_107,VSS,Metal1,83.8445,910.0775,0.000071
FILLER_228_101,VSS,Metal1,64.0200,909.7885,0.000070
FILLER_228_37,VSS,Metal1,44.6445,910.0775,0.000070
FILLER_228_34,VSS,Metal1,26.0400,909.4400,0.000070
FILLER_228_2,VSS,Metal1,16.1240,910.0375,0.000070
FILLER_227_1608,VSS,Metal1,907.4800,909.4400,0.000093
FILLER_227_1606,VSS,Metal1,906.6400,909.4400,0.000093
FILLER_227_1542,VSS,Metal1,887.4445,908.8020,0.000093
FILLER_227_1536,VSS,Metal1,867.6200,909.0910,0.000093
FILLER_227_1472,VSS,Metal1,848.2445,908.8020,0.000093
FILLER_227_1466,VSS,Metal1,828.4200,909.0910,0.000093
FILLER_227_1402,VSS,Metal1,809.0445,908.8020,0.000093
FILLER_227_1396,VSS,Metal1,789.2200,909.0910,0.000093
FILLER_227_1332,VSS,Metal1,769.8445,908.8020,0.000093
FILLER_227_1329,VSS,Metal1,751.2400,909.4400,0.000093
FILLER_227_1327,VSS,Metal1,750.4000,909.4400,0.000093
FILLER_227_1323,VSS,Metal1,748.3400,909.0910,0.000093
FILLER_227_1307,VSS,Metal1,742.5120,908.8920,0.000093
FILLER_227_1275,VSS,Metal1,729.0040,908.8420,0.000094
FILLER_227_1258,VSS,Metal1,711.7600,909.4400,0.000103
FILLER_227_1207,VSS,Metal1,682.9200,909.4400,0.000109
FILLER_227_1205,VSS,Metal1,682.0800,909.4400,0.000109
FILLER_227_1188,VSS,Metal1,672.5600,909.4400,0.000160
FILLER_227_1178,VSS,Metal1,666.9600,909.4400,0.000160
FILLER_227_1174,VSS,Metal1,664.9000,909.0910,0.000160
FILLER_227_1144,VSS,Metal1,647.6400,909.4400,0.000158
FILLER_227_1140,VSS,Metal1,645.8600,909.0910,0.000158
FILLER_227_1090,VSS,Metal1,617.4000,909.4400,0.000170
FILLER_227_1082,VSS,Metal1,614.3730,908.9780,0.000170
FILLER_227_1076,VSS,Metal1,609.5600,909.4400,0.000171
FILLER_227_1052,VSS,Metal1,599.7120,908.8920,0.000171
FILLER_227_1049,VSS,Metal1,594.4400,909.4400,0.000172
FILLER_227_1045,VSS,Metal1,592.6600,909.0910,0.000174
FILLER_227_1037,VSS,Metal1,589.1730,908.9780,0.000174
FILLER_227_1006,VSS,Metal1,570.6400,909.4400,0.000175
FILLER_227_998,VSS,Metal1,567.3330,908.9780,0.000175
FILLER_227_982,VSS,Metal1,560.5120,908.8920,0.000175
FILLER_227_979,VSS,Metal1,555.2400,909.4400,0.000175
